Marca temporal,Who extracted the data?,Tool name,Brief description,Official webpage (URL),Main reference (DOI or URL to the paper),Which SPL phases support the tool?,Type of tool,Date of the first release/publication/development/paper,Date of the last update,Is the tool under active development?,Is the tool available online to download/use?,Is the tool working well and/or usable?,Is it a stand-alone tool?,The tool has been integrated within other tools. Which ones?
12/02/2019 10:53:14,José Miguel,FLAME,,http://www.isa.us.es/fama/?FLAME_framework,,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2015,,,No,,,
12/02/2019 10:53:55,José Miguel,BVR Tool Bundle,,,https://dl.acm.org/citation.cfm?id=2791094,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI), Product Derivation (PD)",Academic,1/01/2015,1/11/2016,No,No,,No,
12/02/2019 10:54:26,José Miguel,CVL 2,,,,Domain Analysis (DA),Prototype,1/01/2015,,No,No,,Yes,
12/02/2019 10:55:44,José Miguel,KVCL,"KCVL is a prototype implementation of the OMG Common Variability Language with several additional features. KCVL comes with a textual editor for expressing variability abstraction models, variability realization models and resolution models. Several services are built around this textual representation",https://diverse-project.github.io/kcvl/,,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI), Product Derivation (PD)",Prototype,1/01/2015,1/12/2015,No,Yes,,No,
12/02/2019 10:58:13,José Miguel,MetaEdit+,MetaEdit+ enables companies to radically improve development productivity and quality by generating full code directly from models.,https://www.metacase.com/products.html,,Domain Implementation (DI),Commercial,1/01/1993,1/02/2017,,No,,,
12/02/2019 10:59:25,José Miguel,Glencoe,Glencoe is an easy to use web application which enables you to visualize and analyze multivariant product lines. It is backed by well-known and industry approved concepts as well as state-of-the-art approaches based on current research.,https://glencoe.hochschule-trier.de/,http://ebooks.iospress.nl/volumearticle/49851,Domain Analysis (DA),Academic,1/01/2018,1/01/2019,Yes,Yes,Yes,Yes,
12/02/2019 11:00:38,José Miguel,AO-ADL Tool Suite,,http://caosd.lcc.uma.es/ao-adl/,,"Domain Implementation (DI), Product Derivation (PD)",Academic,1/01/2012,,No,Yes,,No,
12/02/2019 11:06:21,José Miguel,Feature Commander,"Feature Commander is a prototype for a software product line IDE. Its aim is to support programmers of software product lines by improving the usability of the development tool. The basic concept of Feature Commander is to process the preprocessor-based feature-assignments in the code (e.g. #ifdef or #endif statements) and display this information in other visual representations. For each feature, the user can easily assign a color, which is used throughout all visualizations. When a Feature has no assigned color, it is displayed with a shade of gray. This shows the Feature exists, but it does not get the users attention. There are three views: the Code View, the Explorer View and the Feature Model View. Each view helps the user in finding feature-based files or code fragments or getting a better understanding of the code.",http://fosd.net/fc,,Domain Implementation (DI),,17/09/2010,,No,Yes,No,Yes,
12/02/2019 11:09:47,José Miguel,Munge,,http://sonatype.github.io/munge-maven-plugin/index.html,,Domain Implementation (DI),Academic,1/10/2010,1/07/2011,,No,,,
12/02/2019 11:10:34,José Miguel,HADAS,,https://hadas.caosd.lcc.uma.es/about.php,,Requirements Analysis (RA),Academic,1/06/2017,1/07/2018,Yes,Yes,Yes,Yes,
4/03/2019 10:08:55,José Miguel,KernelHaven,,https://github.com/KernelHaven,https://dl.acm.org/citation.cfm?doid=3236405.3236410,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,14/09/2018,22/01/2019,Yes,Yes,Yes,Yes,
4/03/2019 10:19:16,José Miguel,FMCAT,"A toolkit for Featured Modal Contract Automata (FMCA). FMCAT supports the analysis of dynamic service product lines, i.e., applications consisting of ensembles of interacting services organized as product lines.",https://github.com/davidebasile/FMCAT,https://dl.acm.org/citation.cfm?doid=3109729.3109760,"Domain Analysis (DA), Requirements Analysis (RA)",,29/09/2017,27/01/2019,Yes,Yes,Yes,Yes,
22/11/2019 12:43:27,José Miguel,FeatureDashBoard,It extracts and visualizes features and their locations using different views and metrics.,https://bitbucket.org/easelab/featuredashboard/src/master/,https://dl.acm.org/citation.cfm?doid=3307630.3342392,Domain Implementation (DI),Academic,9/09/2019,,Yes,Yes,Yes,No,
22/11/2019 12:48:05,José Miguel,symfinder,symfinder is a toolchain built in order to automatically identify and visualize symmetries in object-oriented systems (in Java in the current version). These symmetries are helping in determining variation points and variants in large code structures.,https://deathstar3.github.io/symfinder-demo/,https://dl.acm.org/citation.cfm?doid=3307630.3342394,Domain Implementation (DI),Academic,9/09/2019,,Yes,Yes,Yes,Yes,
22/11/2019 12:52:14,José Miguel,FlexiPLE,"FlexiPLE allows for a feature-wise binding time selection, even after a MBSPL implementation.",http://pi.informatik.uni-siegen.de/projects/variance/flexiple/,https://dl.acm.org/citation.cfm?doid=3307630.3342395,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",Academic,9/09/2019,,Yes,Yes,Yes,No,
22/11/2019 12:56:59,José Miguel,FeatureCloud,"FeatureCloud is a git client for the visualization of evolution in
annotated SPL.",,https://dl.acm.org/citation.cfm?doid=3307630.3342386,Domain Implementation (DI),Academic,9/09/2019,,Yes,No,No,No,
22/11/2019 13:04:30,José Miguel,RESDEC,A prototype component-based recommender system called RESDEC (REcommender System that suggest implementation Components from selecteD fEatures) designed to manage the best implementation components alternatives.,http://resdec.com/,https://dl.acm.org/citation.cfm?doid=3307630.3342390,Requirements Analysis (RA),Prototype,9/09/2019,,Yes,Yes,Yes,Yes,
